bearing_deg,mismatch_deg,range_m,yaw_offset_deg,target_x,target_y,true_dist,true_brg,llm_naive_dist,llm_naive_brg,llm_posed_dist,llm_posed_brg,alt_cmd,alt_actual,alt_drop,geom_area,geom_dist_err,geom_brg_err,geom_reason,llm_naive_dist_err,llm_naive_brg_err,llm_naive_note,llm_posed_dist_err,llm_posed_brg_err,llm_posed_note
-135.0,37.8,2.0,-7.2,3.5,2.0,4.03,29.7,2.3,-16.4,,,2.0,1.964,0.036,0.0246,0.6124843672354596,1.73009849789471,,1.7311288741492747,46.14488129694223,,,,"ERROR: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing hig"
-112.5,48.4,3.0,-19.1,3.0,0.8,3.1,14.9,,,2.6,-8.0,2.0,1.976,0.024,0.01,0.42064424108823406,11.50636915033948,,,,"ERROR: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing hig",0.5048349392520048,22.931417178137565,
-90.0,104.0,4.0,14.0,3.5,2.0,4.03,29.7,3.0,0.0,2.8,45.0,2.0,1.964,0.036,0.0042,0.2696016346148018,11.02635678736847,,1.0311288741492746,29.744881296942225,,1.2311288741492747,15.255118703057775,
-67.5,122.6,4.0,10.1,4.8,2.8,5.56,30.3,4.1,-11.5,5.0,36.9,2.0,1.964,0.036,0.0049,0.0073482678337901675,8.471092999175626,,1.4569775957799216,41.756437163529256,,0.5569775957799212,6.643562836470721,
-22.5,132.1,2.0,-25.4,4.2,3.6,5.53,40.6,3.1,19.5,5.7,45.0,2.0,1.964,0.036,0.0243,0.24045848971024508,5.796391244800856,,2.431726674375733,21.101294645004486,,0.16827332562426722,4.3987053549955135,
0.0,157.4,3.0,-22.6,4.8,2.8,5.56,30.3,3.1,14.2,6.3,28.6,2.0,1.922,0.078,,,,boyut kapisi eledi,2.456977595779921,16.056437163529267,,0.7430224042200786,1.6564371635292616,
22.5,-135.4,3.0,22.1,2.6,1.2,2.86,24.8,,,1.8,-33.7,2.0,1.372,0.628,0.0104,0.868070773429034,0.7559593218826437,,,,"ERROR: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing hig",1.0635642126552705,58.47514056883192,
45.0,-158.0,4.0,-23.0,2.8,3.4,4.4,50.5,3.3,-12.5,,,2.0,1.964,0.036,0.0057,0.8202640813687783,1.3995012530029225,,1.1045431091090485,63.02754015165618,,,,"ERROR: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing hig"
67.5,-126.0,4.0,-13.5,5.0,1.5,5.22,16.7,3.5,15.0,,,2.0,1.945,0.055,0.005,0.5767538497936613,6.18673910657589,,1.7201532544552753,1.6992442339936247,,,,"ERROR: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing hig"
112.5,-50.7,2.0,16.8,4.5,0.5,4.53,6.3,2.3,-14.0,5.0,0.0,2.0,1.964,0.036,0.0351,0.2043032635211075,9.926451208854122,,2.227692569068709,20.34019174590992,,0.47230743093129135,6.3401917459099195,
-135.0,62.5,3.0,17.5,4.5,0.5,4.53,6.3,2.3,-20.0,3.0,-9.0,2.0,1.96,0.04,0.0098,0.46747943805426306,7.198219901722579,,2.227692569068709,26.34019174590992,,1.5276925690687087,15.34019174590992,
-112.5,86.7,4.0,19.2,5.0,1.5,5.22,16.7,3.2,-18.4,,,2.0,1.945,0.055,0.005,0.376004310160428,7.619841178453362,,2.020153254455275,35.0992442339936,,,,"ERROR: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing hig"
-67.5,118.0,2.0,5.5,4.5,0.5,4.53,6.3,1.8,-8.0,5.1,-11.3,2.0,1.96,0.04,0.0186,0.23500304552854434,6.647838094419434,,2.727692569068709,14.34019174590992,,0.572307430931291,17.640191745909902,
-45.0,143.8,2.0,8.8,3.0,0.8,3.1,14.9,3.5,-11.0,2.1,45.0,2.0,1.97,0.03,0.0179,0.3378033097331441,6.74849402712383,,0.39516506074799507,25.931417178137565,,1.0048349392520048,30.068582821862435,
-22.5,174.0,3.0,16.5,3.5,2.0,4.03,29.7,3.2,-11.3,,,2.0,1.964,0.036,0.0081,0.5165093671317535,6.023170739012011,,0.8311288741492744,41.04488129694221,,,,"ERROR: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing hig"
0.0,161.6,4.0,-18.4,3.0,0.8,3.1,14.9,4.6,14.9,3.0,-9.5,2.0,1.967,0.033,,,,boyut kapisi eledi,1.4951650607479947,0.031417178137559176,,0.10483493925200493,24.431417178137565,
22.5,-170.1,4.0,-12.6,4.2,3.6,5.53,40.6,3.6,10.0,,,2.0,1.922,0.078,0.0043,0.7681312548856409,2.575685524882013,,1.9317266743757329,30.601294645004486,,,,"ERROR: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing hig"
67.5,-107.7,2.0,4.8,4.8,2.8,5.56,30.3,,,,,2.0,1.674,0.326,0.0179,0.4487570993646175,3.7712751469981107,,,,"ERROR: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing hig",,,"ERROR: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing hig"
90.0,-103.8,2.0,-13.8,2.6,1.2,2.86,24.8,3.6,14.0,2.0,0.0,2.0,1.932,0.068,0.0249,0.4156468130200186,12.248715598767713,,0.7364357873447296,10.775140568831915,,0.8635642126552705,24.775140568831915,
112.5,-86.0,3.0,-18.5,2.8,3.4,4.4,50.5,,,,,2.0,1.979,0.021,0.008,0.3728186984991826,6.39295190848395,,,,"ERROR: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing hig",,,"ERROR: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing hig"
